file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,131,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,12
style.css,132,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,30
style.css,133,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,7
style.css,134,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,18
style.css,135,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,136,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,137,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,5
style.css,138,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,16
style.css,139,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,140,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,141,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,4
style.css,142,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,7
style.css,143,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,6
style.css,144,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,10
style.css,145,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,21
style.css,146,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,12
style.css,147,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,148,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,149,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,6
style.css,150,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,18
style.css,151,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,152,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,0
style.css,153,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,0,9
style.css,154,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,12
style.css,155,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,58
style.css,156,css,acccdd35,manasamaddi1,2025-04-18,19:24:31,-07:00,2025-04-18T19:24:31-07:00,1,7
style.css,157,css,0889907c,manasamaddi1,2025-04-09,18:19:50,-07:00,2025-04-09T18:19:50-07:00,1,17
style.css,158,css,d6c6b8f6,manasamaddi1,2025-04-30,23:27:47,-07:00,2025-04-30T23:27:47-07:00,1,15
